nbd27, 287107.50000, -194209.10000
rpto3, 425269.90000, 228297.00000
nbd22, 269221.50000, -319250.60000
nbd26, 403632.70000, -656205.80000
nbd29, 299853.10000, 280337.90000
nbd28, 482348.70000, -883422.80000
wilo3, 444371.00000, 190128.00000
tansy, 345784.00000, 285882.00000
grays, 357926.00000, 294761.00000
lonw1, 419421.80000, 274227.20000
46029, 299853.10000, 280337.90000
csbo3, 325601.40000, 112669.80000
lngw1, 421259.00000, 272766.00000
cacc1, 329926.90000, -523601.60000
ccho3, 297606.80000, -27291.60000
bnvo3, 495756.40000, 219755.80000
clso3, 432367.00000, 222071.00000
vanw1, 440731.40000, 218969.10000
dpgrs, 324146.90000, 361171.40000
oc1, 348609.37206, 290590.81210
lwsck, 350300.10000, 281825.90000
oc2, 346369.32595, 290844.65712
dpdbl, 576444.10000, -944235.50000
skaw1, 381617.40000, 293059.40000
am012, 349574.00000, 290776.00000
sandi, 341256.50000, 293570.60000
vncw1, 440276.00000, 219089.00000
nbd41, 288458.40000, 416759.70000
nbd42, 436493.10000, -769097.10000
sat01, 349653.00000, 290854.00000
sat03, 344241.00000, 287160.00000
sat02, 330029.00000, 284648.50000
sat05, 402233.10000, 283266.40000
sat04, 359101.00000, 285529.00000
sat06, 440234.00000, 207981.00000
hmndb, 343386.00000, 287543.00000
cccc1, 302012.60000, -207406.40000
nb211, 324506.50000, 361522.50000
saturn06, 440234.00000, 207981.00000
saturn08, 463056.00000, 214000.00000
risen, 317623.20000, 314805.10000
saturn05, 402233.10000, 283266.40000
saturn04, 358251.00000, 287012.00000
saturn07, 338788.00000, 297068.00000
risec, 324382.20000, 284404.50000
saturn01, 349653.00000, 290854.00000
saturn03, 344208.00000, 287180.00000
saturn02, 330029.00000, 284648.50000
tpoin, 357450.00000, 287571.00000
nbd50, 289996.20000, 113925.00000
mottb, 359101.00000, 285529.00000
rises, 331142.80000, 271404.70000
yb101, 349589.60000, 284350.80000
cwbw1, 344739.90000, 343735.40000
woody, 375759.10000, 291725.70000
coaof, 357069.00000, 287180.00000
cnbw1, 304358.20000, 530545.00000
nb243, 329826.50000, 289602.70000
am169, 351043.40000, 286408.10000
nbd62, 562513.40000, -956350.10000
ogi02, 330029.00000, 284648.50000
cmoc1, 484168.40000, -786334.90000
ogi01, 318409.40000, 270364.80000
waro3, 491122.00000, 217617.00000
jetta, 337022.00000, 294843.00000
coaww, 357009.00000, 287151.00000
marsh, 368985.00000, 287756.00000
red26, 343400.00000, 288056.00000
cpoo3, 282307.90000, -94885.50000
cnsc1, 293469.60000, -314432.60000
frost, 321885.00000, 293749.00000
dprys, 346725.00000, -632519.90000
bvao3, 402526.00000, 282893.00000
ncnb1, 344755.76907, 291695.71660
chnke, 342163.00000, 298598.00000
bono3, 495777.00000, 219817.00000
sveni, 366504.00000, 284070.00000
camw1, 463522.00000, 213761.40000
stho3, 431430.00000, 246837.00000
cbnc3, 361994.20000, 287309.10000
tnslh, 380769.30000, 289948.70000
eliot, 369566.20000, 292736.70000
sig, 349113.36293, 290610.48920
wauo3, 385733.00000, 281232.00000
bbco3, 497363.00000, 220801.00000
nbd12, 397020.40000, -699680.70000
nbd13, 360231.00000, -601120.00000
nbd14, 308592.20000, -488461.60000
nbd15, 253452.10000, -92281.20000
vapw1, 439855.00000, 219052.10000
moro3, 440236.00000, 208048.00000
yacht, 352094.00000, 283512.00000
nh10, 307889.00000, 115682.00000
dsdma, 343205.00000, 290091.00000
