hmndb, 343386.00000, 287543.00000, -0.00000, z, elev
tpoin, 357450.00000, 287571.00000, -0.00000, z, elev
grays, 357926.00000, 294761.00000, -1.60000, z, elev
saturn01, 349653.00000, 290854.00000, -19.50000, z, salt
saturn03, 344208.00000, 287180.00000, -13.00000, z, salt
saturn03, 344208.00000, 287180.00000, -8.20000, z, salt
saturn03, 344208.00000, 287180.00000, -2.40000, z, salt
saturn04, 359101.00000, 285529.00000, -8.60000, z, salt 
jetta, 337022.00000, 294843.00000, -6.4000, z, salt 
grays, 357926.00000, 294761.00000, -1.6000, z, salt
tansy, 345784.00000, 285882.00000, -8.4000, z, salt 
saturn04, 359101.00000, 285529.00000, -0.30000, depth, salt 
ogi01, 318409.40000, 270364.80000, -1.0000, depth, salt
saturn01, 349653.00000, 290854.00000, -19.50000, z, temp 
saturn03, 344208.00000, 287180.00000, -13.00000, z, temp 
saturn03, 344208.00000, 287180.00000, -8.20000, z, temp 
saturn03, 344208.00000, 287180.00000, -2.40000, z, temp 
saturn04, 359101.00000, 285529.00000, -0.30000, depth, temp
saturn04, 359101.00000, 285529.00000, -0.60000, depth, temp
saturn04, 359101.00000, 285529.00000, -3.00000, z, temp
saturn04, 359101.00000, 285529.00000, -8.60000, z, temp
jetta, 337022.00000, 294843.00000, -6.4000, z, temp 
grays, 357926.00000, 294761.00000, -1.6000, z, temp 
tansy, 345784.00000, 285882.00000, -8.4000, z, temp
woody, 375759.10000, 291725.70000, -2.4000, z, temp
nbd41, 288458.40000, 416759.70000, -0.6000, depth, temp
cbnc3, 361994.20000, 287309.10000, -9.0000, depth, temp
nbd50, 289996.20000, 113925.00000, -0.6000, depth, temp
nbd29, 299853.10000, 280337.90000, -0.6000, depth, temp
ogi01, 318409.40000, 270364.80000, -1.0000, depth, temp 
saturn01, 349653.00000, 290854.00000, -19.50000, z, turbidity 
saturn03, 344208.00000, 287180.00000, -13.00000, z, turbidity 
saturn03, 344208.00000, 287180.00000, -8.20000, z, turbidity 
saturn03, 344208.00000, 287180.00000, -2.40000, z, turbidity 
saturn04, 359101.00000, 285529.00000, -0.30000, depth, turbidity
saturn04, 359101.00000, 285529.00000, -0.60000, depth, turbidity
saturn04, 359101.00000, 285529.00000, -3.00000, z, turbidity
saturn04, 359101.00000, 285529.00000, -8.60000, z, turbidity
